HGNC symbol,raw density,mean simulated density,ND,enrichment p,Z-score,depletion p,motif number,standard deviation of simulant densities
A1CF,0.000839898,0.001275839,-0.341689894,0.959040959,-1.262423039,0.041958042,5,0.000345321
ACO1,0.011041155,0.009947992,0.109887777,0.283716284,0.333367207,0.717282717,3,0.003279155
AKAP1,6.94E-05,3.71E-05,0.87155269,0.000999001,None,1,1,0.00E+00
ANKHD1,0.000218491,0.000491662,-0.55560823,0.853146853,-0.921127891,0.147852148,2,0.000296562
CELF1,0.014564685,0.006663041,1.185891511,0.000999001,2.712665648,1,1,0.00291287
CELF4,0.00228595,0.00194085,0.177809064,0.165834166,0.909082919,0.835164835,4,0.000379614
CELF5,0.000538683,0.00063158,-0.14708649,1,None,0.000999001,1,0.00E+00
CELF6,0.002833271,0.001989615,0.424030121,0.062937063,1.829699661,0.938061938,4,0.00046109
CNOT4,0.001565793,0.001582398,-0.010493408,0.431568432,-0.020503917,0.569430569,2,0.000809833
CPEB2,0.000959986,0.000937789,0.023669758,0.431568432,0.165064874,0.569430569,2,0.000134476
CPEB4,0.000376542,0.000544366,-0.308293639,1,-1.753068906,0.000999001,1,9.57E-05
CSTF2,0.000142756,0.000150176,-0.049405126,0.472527473,-0.140761984,0.528471528,4,5.27E-05
DAZAP1,5.97E-05,0.000598718,-0.900312967,1,-1.123956374,0.000999001,2,0.000479586
EIF4B,0.007532478,0.007748729,-0.027907885,0.52047952,-0.136466955,0.480519481,16,0.001584637
ELAVL1,0.003600842,0.00420877,-0.14444317,0.933066933,-1.422776805,0.067932068,15,0.000427283
ELAVL2,0.000319319,0.000293152,0.089259411,0.235764236,0.635869786,0.765234765,38,4.12E-05
ELAVL3,0.003814721,0.00412644,-0.075541983,0.795204795,-0.331850529,0.205794206,3,0.000939337
ENOX1,0.002078695,0.001833847,0.133515747,0.293706294,0.349748766,0.707292707,2,0.000700067
ESRP2,0.000590527,0.000660042,-0.105319212,0.565434565,-0.215455753,0.435564436,1,0.000322642
FMR1,0.001834848,0.001354086,0.355045261,0.230769231,0.590569368,0.77022977,14,0.000814065
FUS,0.000226253,0.000348182,-0.350188394,0.455544456,-0.45365143,0.545454545,1,0.000268773
FXR1,0.00043706,0.000492558,-0.112673215,0.521478521,-0.209417599,0.47952048,4,0.000265012
FXR2,0.002737554,0.002680962,0.021108749,0.408591409,0.051168762,0.592407592,4,0.001105982
G3BP1,7.06E-05,0.000138221,-0.489467204,1,-2.898138879,0.000999001,64,2.33E-05
G3BP2,0.002741402,0.003394316,-0.192354954,0.651348651,-0.483652458,0.34965035,4,0.001349964
GRSF1,0.036338403,0.054395115,-0.331954662,1,-3.330282965,0.000999001,9,0.005421975
HNRNPA1,0.027096466,0.030663038,-0.116314994,0.763236763,-0.742876897,0.237762238,24,0.004801026
HNRNPA1L2,0.000335574,0.001507064,-0.777332332,0.999000999,-1.429073162,0.001998002,4,0.000819755
HNRNPA2B1,0.002557479,0.005447066,-0.53048504,1,-2.499605946,0.000999001,30,0.001156017
HNRNPA3,1.90E-05,9.12E-06,1.083443226,0.11988012,0.900741799,0.881118881,1,1.10E-05
HNRNPAB,2.62E-05,1.17E-05,1.24530138,0.094905095,1.183104264,0.906093906,1,1.23E-05
HNRNPC,0.001141129,0.000911822,0.251483225,0.041958042,1.714519776,0.959040959,2,0.000133745
HNRNPCL1,0.001141129,0.000915282,0.246751198,0.043956044,1.745011364,0.957042957,2,0.000129424
HNRNPF,0.046205435,0.054697793,-0.155259609,0.895104895,-1.198216254,0.105894106,20,0.0070875
HNRNPH1,0.047075862,0.064166226,-0.26634516,0.994005994,-2.449177693,0.006993007,11,0.006978001
HNRNPH2,0.036451212,0.055575887,-0.344118206,1,-3.865458815,0.000999001,10,0.004947582
HNRNPH3,0.036338403,0.054223554,-0.329840993,1,-3.489346839,0.000999001,9,0.005125644
HNRNPK,0.098725704,0.099302235,-0.005805823,0.543456543,-0.106392233,0.457542458,26,0.005418922
HNRNPL,0.002253817,0.003807837,-0.40811082,0.964035964,-1.533549317,0.036963037,7,0.001013348
HNRNPLL,0.001501424,0.001563636,-0.039786251,0.493506494,-0.101362785,0.507492507,3,0.000613748
HNRNPM,5.03E-05,0.000156611,-0.679138313,1,-1.179700919,0.000999001,1,9.02E-05
HNRNPU,0.000271726,0.000332196,-0.182030846,0.618381618,-0.408153829,0.382617383,1,0.000148155
